organization,repos_with_actions,time_of_data_collection
android,android.github.io; testing-samples; location-samples; performance-samples; uamp; ndk-samples; android-test; play-billing-samples; architecture-samples; codelab-constraint-layout; architecture-components-samples; codelab-android-lifecycles; android-studio-poet; codelab-android-room-with-a-view; databinding-samples; sunflower; snippets; codelab-kotlin-coroutines; storage-samples; codelab-android-direct-share; camera-samples; codelab-fido2; wear-os-samples; tv-samples; security-samples; renderscript-samples; animation-samples; graphics-samples; enterprise-samples; fit-samples; identity-samples; user-interface-samples; input-samples; connectivity-samples; views-widgets-samples; app-bundle-samples; media-samples; permissions-samples; compose-samples; gradle-recipes; security-certification-resources; project-replicator; codelab-android-datastore; car-samples; codelab-android-compose; android-dev-challenge-compose; trackr; health-samples; cose-lib; codelab-handling-back-navigation,09/05/2024 10:20:03
nodejs,node-gyp; readable-stream; node-addon-examples; build; node; docker-node; diagnostics; nodejs-ko; changelog-maker; nodejs.org; commit-stream; citgm; TSC; branch-diff; help; full-icu-npm; llnode; github-bot; core-validate-commit,09/05/2024 10:20:03
Stability-AI,gpt-neox; api-interfaces; diffusers; stability-sdk; k-diffusion; rest-api-support; StableStudio; lm-evaluation-harness; truss; generative-models; devcontainer-features; DeepSpeed; stable-3d-gallery; stable-audio-demo; stable-code-docs; stable-audio-2-demo,09/05/2024 10:20:03
termux,termux-packages; termux-api; termux-app; termux.github.io; termux-widget; termux-styling; termux-create-package; termux-tasker; termux-boot; termux-elf-cleaner; termux-float; termux-root-packages; x11-packages; termux-packaging; game-packages; science-packages; termux-x11; termux-docker; proot-distro; repology-metadata; openjdk-mobile-termux; termux-gui; create-conventional-changelog; termux.com; termux-tools; glibc-packages; termux-language-server,09/05/2024 10:20:03
twbs,bootstrap; blog; bootstrap-expo; bootlint; grunt-bootlint; bootstrap-rubygem; rfs; stylelint-config-twbs-bootstrap; icons; bootlint-server; bootstrap-npm-starter; examples; fantasticon,09/05/2024 10:20:03
spring-projects,spring-data-commons; spring-data-jpa; spring-amqp; spring-batch; spring-framework; spring-retry; spring-data-redis; spring-integration; spring-integration-samples; spring-data-cassandra; spring-net; spring-data-mongodb; spring-security; spring-security-kerberos; spring-shell; spring-plugin; spring-data-rest; spring-data-envers; spring-hateoas; spring-boot; spring-data-build; spring-petclinic; spring-ws; spring-data-couchbase; spring-ldap; spring-data-examples; spring-batch-extensions; spring-guice; spring-session; spring-restdocs; spring-integration-aws; spring-data-keyvalue; spring-statemachine; spring-data-dev-tools; spring-kafka; sts4; spring-vault; spring-data-ldap; spring-data-relational; spring-data-geode; spring-session-bom; spring-data-r2dbc; spring-authorization-server; spring-graphql; spring-security-samples; spring-cli; spring-pulsar; spring-aot-smoke-tests; spring-modulith; spring-ai; spring-rewrite-commons,09/05/2024 10:20:03
google-deepmind,torch-cephes; torch-randomkit; torch-distributions; torch-hdf5; lab; learning-to-learn; dnc; sonnet; pysc2; kinetics-i3d; pycolab; dm_control; gqn-datasets; loopix-messaging; spiral; leaps-and-bounds; scalable_agent; surface-distance; trfl; graph_nets; dynamic-kanerva-machines; interval-bound-propagation; streetlearn; lamb; deepmind-research; grid-cells; hanabi-learning-environment; leo; mathematics_dataset; Temporal-3D-Pose-Kinetics; wasserstein_fairness; dm_env; open_spiel; mc_gradients; bsuite; spriteworld; multi_object_datasets; labmaze; tree; deep-verify; dm_env_rpc; dm_memorytasks; dm-haiku; rlax; dm_hard_eight; reverb; acme; optax; chex; dqn_zoo; ferminet; jax_verify; jaxline; lab2d; jraph; tensor_annotations; dm_fast_mapping; dm_alchemy; fancyflags; launchpad; distrax,09/05/2024 10:20:03
rust-lang,rust; rust-enhanced; cargo; rfcs; rust-by-example; crates.io; flate2-rs; git2-rs; glob; blog.rust-lang.org; cc-rs; libz-sys; pkg-config-rs; cmake-rs; crates.io-index; this-week-in-rust; rust-clippy; rust-installer; regex; log; getopts; libc; rust.vim; rust-mode; rustc-perf; rustfmt; backtrace-rs; mdBook; cfg-if; stacker; chalk; rustlings; rustup; glacier; miri; book; rust-forge; docs.rs; arewewebyet; futures-rs; rustc-demangle; rust-bindgen; rust-playground; rustfix; compiler-builtins; rls; vscode-rust; crater; stdarch; rust-central-station; api-guidelines; reference; nomicon; socket2; rust-semverver; jobserver-rs; atom-ide-rust; simpleinfra; docker-rust; ferris-says; docker-rust-nightly; rust-analyzer; rustc-dev-guide; www.rust-lang.org; rustc-pr-tracking; infra-team; edition-guide; annotate-snippets-rs; cargo-bisect-rustc; homu; rust-log-analyzer; polonius; datafrog; rustc-hash; rustc_codegen_cranelift,09/05/2024 10:20:03
scroll-tech,zkevm-circuits; zkevm-specs; halo2; go-ethereum; go-merkletree; mpt-circuit; scroll-prover; rollup-explorer-backend; halo2wrong; scroll; frontends; halo2curves; web3go; blockscout; token-list; snark-verifier; uniswap-v3-interface; scroll-documentation; nft-token-list; contribute-to-scroll; ethers-rs; chain-monitor; revm; mass-testing; Casper; zstd; canvas-contracts; da-codec,09/05/2024 10:20:03
flipperdevices,flipperzero-firmware; Flipper-Android-App; Casper-flipper-blog-theme; docker-rsync-server; docs; qFlipper; webdfu; update.flipperzero.one; flipper-update-server; flipperzero-protobuf; thumbnail-autogen; libusb_stm32; blackmagic-esp32-s2; blackmagic; flpr.app; lab.flipper.net; flipperzero-toolchain; go-metric; welcomer-bot; json_exporter; firmware-report-client; flipper-application-catalog; firmware-report-server; flipperzero-ufbt; flipper-update-indexer; flipper-documentation-indexer; flipper-tilda-webserver; flipperzero-ufbt-action; flipper-k8s-db-backuper; nginx-headers-more; flipperzero-good-faps; flipper-k8s-nagios-monitoring; flipper-github-runner-docker-qa; video-game-module,09/05/2024 10:20:03
Azure,azure-sdk-for-net; azure-sdk-for-java; azure-sdk-for-node; azure-sdk-for-python; WALinuxAgent; azure.github.io; azure-linux-extensions; azure-sdk-for-go; azure-powershell; Azure-DataFactory; hpcpack-linux-agent; autorest; azure-quickstart-templates; azure-resource-manager-schemas; go-ansiterm; azure-rest-api-specs,09/05/2024 10:20:03
GoogleCloudPlatform,appengine-guestbook-python; php-docs-samples; gsutil; appengine-scipy-zombie-apocalypse-python; compute-image-packages; appengine-bottle-skeleton; cloud-sdk-docker; gcs-oauth2-boto-plugin; monitoring-javascript-dashboard; nodejs-docker; fluent-plugin-google-cloud; golang-docker; python-runtime; ruby-docker; PerfKitBenchmarker; protoc-gen-bq-schema; google-cloud-node-todos,09/05/2024 10:20:03
open-mmlab,mmcv; mmdetection; mmagic; OpenPCDet; mmselfsup; mmsegmentation; mmdetection3d; mmpose; mmpretrain; mmaction2; mmtracking; mmocr; mmgeneration; mim; mmflow; mmfewshot; mmhuman3d; labelbee; pre-commit-hooks; mmrazor; mmdeploy; mmengine; mmrotate; OpenMMLabCourse; mdformat-openmmlab; ecosystem; mmeval; mmyolo; Amphion,09/05/2024 10:20:03
mdn,kuma; beginner-html-site; beginner-html-site-scripted; webvr-tests; webextensions-examples; learning-area; browser-compat-data; data; django-locallibrary-tutorial; django-diy-blog; express-locallibrary-tutorial; css-examples; js-examples; webaudio-examples; dom-examples; mdn; webassembly-examples; web-tech-games; interactive-examples; html-examples; web-components-examples; pab; pwa-examples; bob; infra; imsc-examples; houdini-examples; perf-examples; yari; mdn-minimalist; mdn-dinocons; todo-vue; todo-react; todo-react-build; content; translated-content,09/05/2024 10:20:03
replicate,keepsake; cog; replicate-python; getting-started-nextjs; replicate-swift; dreambooth-template; replicate-javascript; dreambooth-action; Real-ESRGAN; paint-by-text; tilemaker; scribble-diffusion; go; cog-llama; getting-started-nextjs-language; hype; star-trek-nextjs; replicate-elixir; zoo; pget; replicate-go; quirky; cog-llama-template; llama-chat; nydus-snapshotter; cog-sdxl; image-service; homebrew-tap; cli; vllm-with-loras; yolo,09/05/2024 10:20:03
google-research,batch-ppo; google-research; language; data-driven-advection; bert; lottery-ticket-hypothesis; exoplanet-ml; nasbench; arxiv-latex-cleaner; tensorflow_constrained_optimization; disentanglement_lib; computation-thru-dynamics; planet; episodic-curiosity; meta-dataset; morph-net; lingvo-lab; proteinfer; tensor2robot; mixmatch; turkish-morphology; adapter-bert; football; mnist-c; clevr_robot_env; uda; tf-slim; batch_rl; robel; valan; task_adaptation; recsim; receptive_field; text-to-text-transfer-transformer; neural-structural-optimization; s4l; dex-lang; lasertagger; rigl; albert; dreamer; augmix; rl-reliability-metrics; libsoftwaresync; pddm; remixmatch; fixmatch; self-organising-systems; noisystudent; mma; dads; sound-separation; electra; simclr; realworldrl_suite; pegasus; tapas; xtreme; evoflow; cryptanalytic-model-extraction; bleurt; ssl_detection; relay-policy-learning; big_transfer; open-covid-19-data; lag; usnea; fast-soft-sort; generic-adaptive-restarts; agent-based-epidemic-sim; torchsde; kubric; reverse-engineering-neural-networks; dice_rl; korvapuusti; seanet; ml-for-systems-taxonomy; privateFM; tensorflow-coder; accelerated_gbm; structured-additive-IR; robustness_metrics; federated; si-score; deep_ope; weakly_supervised_control; social_cascades,09/05/2024 10:20:03
aws,aws-sdk-java; aws-sdk-ruby; aws-sdk-net; aws-sdk-js; aws-sdk-php; aws-sdk-php-zf2; aws-cli; aws-sdk-php-silex; aws-sdk-php-laravel; aws-sessionstore-dynamodb-ruby; aws-parallelcluster; s2n-tls; aws-dynamodb-encryption-java; aws-codedeploy-agent; amazon-ecs-agent; aws-sdk-go; amazon-ecs-init; aws-sdk-rails; aws-sdk-cpp; aws-dotnet-session-provider; aws-lambda-java-libs; aws-php-sns-message-validator; aws-parallelcluster-cookbook; aws-dotnet-trace-listener; aws-sdk-ruby-record; aws-sdk-php-symfony; aws-iot-device-sdk-embedded-C; aws-iot-device-sdk-js; aws-sdk-php-v3-bridge; aws-parallelcluster-node; aws-encryption-sdk-java; aws-iot-device-sdk-java; chalice; aws-iot-device-sdk-python; serverless-application-model; aws-iot-device-sdk-cpp; aws-logging-dotnet; aws-lambda-dotnet; serverless-java-container; aws-encryption-sdk-python; aws-encryption-sdk-cli; aws-xray-sdk-dotnet; aws-xray-sdk-java; aws-xray-sdk-node; connect-rtc-js; aws-sdk-js-v3; aws-toolkit-jetbrains; aws-sam-cli; aws-sdk-java-v2; aws-sdk-go-v2; aws-xray-sdk-go; aws-xray-sdk-python; aws-dynamodb-encryption-python; jsii; aws-cdk; aws-cdk-rfcs; amazon-vpc-cni-k8s; aws-lambda-go; aws-xray-sdk-ruby; aws-extensions-for-dotnet-cli; amazon-freertos; sagemaker-python-sdk; amazon-kinesis-video-streams-parser-library; sagemaker-spark; aws-encryption-sdk-c,09/05/2024 10:20:03
pytorch,pytorch; examples; builder; tutorials; vision; tnt; text; accimage; cpuinfo; pytorch.github.io; audio; benchmark; glow; ignite; ci-hud; extension-cpp; cppdocs; botorch; FBGEMM; xla; hub; probot; captum; add-annotations-github-action; serve; opacus; TensorRT; dr-ci; pytorch-integration-testing; kineto; ort; test-infra; functorch; torchx; data; torchrec; torcharrow; maskedtensor; PiPPy; rl; torchdistx; executorch; multipy; torcheval; torchsnapshot; tensordict; torchtune; ao; torchtitan; docs,09/05/2024 10:20:03
kubernetes,dashboard; website; release; minikube; kube-state-metrics; node-problem-detector; kompose; kops; git-sync; ingress-nginx; kubeadm; repo-infra; autoscaler; utils; kube-openapi; publishing-bot; cloud-provider-aws; cloud-provider-openstack; cloud-provider-vsphere; contributor-site; klog,09/05/2024 10:20:03
home-assistant,core; home-assistant.io; frontend; iOS; home-assistant-js-websocket; supervisor; hass-release; addons; example-custom-config; hassio-build; addons-example; cli; operating-system; docker-base; docker; addons-development; actions; version; mobile-apps-fcm-push; android; builder; plugin-cli; supervised-installer; wheels; wheels-custom-integrations; wheels-opencv; probot-home-assistant; plugin-dns; wheels-tensorflow; plugin-audio; brands; plugin-multicast; wheels-scipy; plugin-observer; landingpage; tempio; bot; my.home-assistant.io; my-upnp; HAKit; os-agent; analytics.home-assistant.io; services.home-assistant.io; devcontainer; newsletter-ghost-theme; deployments; yellow.home-assistant.io; private-demo; bthome.io; service-hub; intents; skyconnect.home-assistant.io; hassil; cosign; intents-package; green.home-assistant.io,09/05/2024 10:20:03
datawhalechina,pumpkin-book; daily-interview; competition-baseline; statistical-learning-method-solutions-manual; joyful-pandas; key-book; easy-rl; fun-rec; thorough-pytorch; unusual-deep-learning; DOPMC; juicy-bigdata; undingable-optimization; vced; leetcode-notes; sweetalk-design-pattern; learn-python-the-smart-way-v2; grape-book; joyrl; leeml-notes; ai-club; d2l-ai-solutions-manual; joyrl-book; whale-quant; llm-cookbook; whale-starry; whale-paper; huawei-od-python; sweetalk-data-structure; hugging-sd; llm-universe; hugging-multi-agent; hugging-audio; awesome-compression,09/05/2024 10:20:03
Tencent,omi; QT4A; QTAF; wepy; APIJSON; xLua; feflow; ncnn; TSW; QT4W; QT4C; DCache; Shadow; TencentKona-8; plato; Hippy; cloudbase-framework; TurboTransformers,09/05/2024 10:20:03
JetBrains,ideavim; psiviewer; Grammar-Kit; intellij-scala; intellij-plugin-verifier; intellij-samples; jediterm; intellij-feature-suggester; Exposed; sbt-structure; kotlin-web-site; xodus; idea-gitignore,09/05/2024 10:20:03
golang,glog; groupcache; appengine; oauth2; example; go; review; protobuf; tools; geo; benchmarks; crypto; exp; image; mobile; net; sys; text; debug; gofrontend; build; playground; tour; snappy; mock; proposal; freetype; arch; sublime-config; sublime-build; sync; time; term; perf; scratch; vgo; dl; website; xerrors; mod; vscode-go; pkgsite; vulndb; vuln; pkgsite-metrics; telemetry,09/05/2024 10:20:03
charmbracelet,glow; glamour; wish; bubbletea; bubbles; charm; lipgloss; skate; harmonica; soft-serve; keygen; soft-serve-action; confettysh; promwish; wishlist; meta; melt; gum; bubbletea-app-template; vhs; .github; vhs-action; ssh; log; git-lfs-transfer; mods; x; console; pop; nur; taskcli; huh; freeze,09/05/2024 10:20:03
docker,docker-py; compose; docker-bench-security; hub-feedback; libkv; go-units; go-connections; notary-official-images; docker-credential-helpers; docs; cli; docker-ce-packaging; docker-install; HttpOverStream; buildx; getting-started; awesome-compose; github-actions; build-push-action; compose-cli; scan-cli-plugin; node-sdk; login-action; import-restrictions; setup-buildx-action; setup-qemu-action; hub-tool; bake-action; metadata-action; get-involved; cli-docs-tool; compose-switch; extensions-sdk; sbom-cli-plugin; volumes-backup-extension; go-imageinspect; packaging; base-cli-plugin; dev-envs-extension; index-cli-plugin; buildkit-syft-scanner; extensions-submissions; testrepo; actions-toolkit; babashka-pod-docker; welcome-to-docker; scout-action; compose-ecs; scout-cli,09/05/2024 10:20:03
hashicorp,vagrant; vagrant-installers; packer; memberlist; serf; consul; raft; vagrant-spec; mdns; terraform; go-version; vagrant_cloud; envconsul; consul-replicate; hcl; golang-lru; consul-template; go-msgpack; go-multierror; raft-boltdb; vault; vault-ruby; vault-rails; nomad; go-immutable-radix; go-memdb; vault-ssh-helper; go-getter; go-retryablehttp; go-uuid; go-plugin; hil; docker-official-images; vscode-terraform; http-echo,09/05/2024 10:20:03
